2025-04-05 01:17:57 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 12/30: gru, layers: 4, units: [32, 64, 32, 128], lr: 0.01
2025-04-05 01:18:15 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 12 results: RMSE: 16.2347, Direction Accuracy: 83.33%
2025-04-05 01:18:15 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 13/30: transformer, layers: 1, units: [64], lr: 0.0005
2025-04-05 01:18:20 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 13 results: RMSE: nan, Direction Accuracy: 83.33%
2025-04-05 01:18:20 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 14/30: gru, layers: 3, units: [256, 32, 32], lr: 0.0005
2025-04-05 01:18:31 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 14 results: RMSE: nan, Direction Accuracy: 83.33%
2025-04-05 01:18:31 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 15/30: gru, layers: 2, units: [64, 256], lr: 0.0001
2025-04-05 01:18:47 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 15 results: RMSE: nan, Direction Accuracy: 83.33%
2025-04-05 01:18:47 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 16/30: gru, layers: 4, units: [64, 64, 32, 256], lr: 0.0001
2025-04-05 01:21:39 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 16 results: RMSE: 15.6256, Direction Accuracy: 83.33%
2025-04-05 01:21:39 | INFO     | evolution.hyperparameter_tuner:tune:426 - Trial 17/30: transformer, layers: 1, units: [128], lr: 0.005
2025-04-05 01:21:56 | INFO     | evolution.hyperparameter_tuner:tune:453 - Trial 17 results: RMSE: 15.1543, Direction Accuracy: 83.33%
2025-04-05 01:21:56 | INFO     | evolution.hyperparameter_tuner:tune:471 - Early stopping after 17 trials without improvement
2025-04-05 01:21:56 | INFO     | evolution.hyperparameter_tuner:tune:511 - Đã lưu mô hình và kết quả tối ưu siêu tham số cho MSFT - monthly
2025-04-05 01:21:56 | INFO     | evolution.hyperparameter_tuner:evolve_model:583 - Thành công: Tiến hóa mô hình MSFT - monthly
2025-04-05 01:21:56 | INFO     | evolution.hyperparameter_tuner:_save_evolution_results:727 - Đã lưu kết quả tiến hóa vào /home/trietvo/BondZiA/evolution/results/evolution_results_20250405_012156.json
2025-04-05 01:21:56 | INFO     | evolution.hyperparameter_tuner:_save_evolution_results:728 - Đã cập nhật phiên bản hệ thống lên 1.0.16
2025-04-05 01:21:56 | INFO     | evolution.hyperparameter_tuner:_save_evolution_results:748 - Đã sao chép các mô hình vào thư mục phiên bản /home/trietvo/BondZiA/BondZiA_versions/BondZiA_v1.0.16
2025-04-05 01:21:56 | INFO     | evolution.hyperparameter_tuner:evolve_all_models:664 - Hoàn thành tiến hóa 15/15 mô hình
2025-04-05 01:21:56 | INFO     | evolution.hyperparameter_tuner:evolve_all_models:665 - Tổng số tham số đã thay đổi: 177
2025-04-05 01:21:56 | INFO     | evolution.hyperparameter_tuner:evolve_all_models:666 - Thời gian tiến hóa: 33651.50839 giây
2025-04-05 01:21:56 | INFO     | __main__:_save_evolution_status:1010 - Đã lưu trạng thái tiến hóa: {'last_evolution_time': '2025-04-05T01:21:56.679060', 'version': '1.0.14'}
2025-04-05 01:21:57 | INFO     | utils.telegram_notifier:__init__:48 - Khởi tạo Telegram Notifier thành công
2025-04-05 01:21:58 | INFO     | utils.telegram_integration:patched_send_system_update:65 - Đã gửi thông báo hệ thống qua Telegram
2025-04-05 01:21:58 | INFO     | utils.telegram_notifier:__init__:48 - Khởi tạo Telegram Notifier thành công
2025-04-05 01:21:59 | INFO     | utils.telegram_integration:patched_send_evolution_update:83 - Đã gửi thông báo tiến hóa qua Telegram
2025-04-05 01:21:59 | INFO     | __main__:_evolve_models:934 - Hoàn thành tiến hóa mô hình. Phiên bản mới: 1.0.16
2025-04-05 01:22:00 | INFO     | __main__:_check_and_predict:562 - Không trong giờ giao dịch (7:00-16:00, thứ 2-6), bỏ qua dự đoán
2025-04-05 01:22:00 | INFO     | __main__:_update_data:495 - Đang cập nhật dữ liệu...
2025-04-05 01:22:04 | INFO     | utils.data_fetcher:save_market_data:646 - Đã lưu dữ liệu thị trường vào /home/trietvo/BondZiA/data/raw/market_data_20250405_012204.json
2025-04-05 01:22:04 | INFO     | utils.data_fetcher:save_daily_data_as_csv:708 - Đã lưu dữ liệu ngày cho TSLA vào /home/trietvo/BondZiA/data/raw/TSLA_daily_2025-01-06_2025-04-04.csv
2025-04-05 01:22:04 | INFO     | utils.data_fetcher:save_daily_data_as_csv:708 - Đã lưu dữ liệu ngày cho NVDA vào /home/trietvo/BondZiA/data/raw/NVDA_daily_2025-01-06_2025-04-04.csv
2025-04-05 01:22:04 | INFO     | utils.data_fetcher:save_daily_data_as_csv:708 - Đã lưu dữ liệu ngày cho PLTR vào /home/trietvo/BondZiA/data/raw/PLTR_daily_2025-01-06_2025-04-04.csv
2025-04-05 01:22:04 | INFO     | utils.data_fetcher:save_daily_data_as_csv:708 - Đã lưu dữ liệu ngày cho AMZN vào /home/trietvo/BondZiA/data/raw/AMZN_daily_2025-01-06_2025-04-04.csv
2025-04-05 01:22:04 | INFO     | utils.data_fetcher:save_daily_data_as_csv:708 - Đã lưu dữ liệu ngày cho MSFT vào /home/trietvo/BondZiA/data/raw/MSFT_daily_2025-01-06_2025-04-04.csv
2025-04-05 01:22:04 | ERROR    | __main__:_update_data:514 - Lỗi khi cập nhật dữ liệu: 'PolygonDataFetcher' object has no attribute 'data_dir'
2025-04-05 01:22:04 | ERROR    | __main__:_update_data:515 - Traceback (most recent call last):
  File "/home/trietvo/BondZiA/main.py", line 507, in _update_data
    self.data_fetcher.save_data_to_disk(data, filename=f"market_data_{timestamp}.json")
  File "/home/trietvo/BondZiA/utils/data_fetcher.py", line 724, in save_data_to_disk
