timestamp,volume,vw,open,close,high,low,transactions
2024-02-13 05:00:00,102293322.0,24.111,23.53,24.01,24.66,23.31,357663
2024-02-14 05:00:00,97227926.0,24.8807,24.15,25.19,25.5,23.755,327505
2024-02-15 05:00:00,70544321.0,25.205,25.04,25.41,25.46,24.71,259379
2024-02-16 05:00:00,65498227.0,24.7919,24.96,24.44,25.495,24.39,248827
2024-02-20 05:00:00,93374349.0,23.2671,23.84,23.4,24.0,22.715,365494
2024-02-21 05:00:00,60411461.0,22.7136,22.3,22.74,22.9299,22.29,250287
2024-02-22 05:00:00,64382647.0,23.552,23.77,23.59,23.95,23.05,270825
2024-02-23 05:00:00,48840765.0,23.1904,23.53,22.97,24.07,22.82,207110
2024-02-26 05:00:00,46499481.0,23.5897,23.03,23.56,23.88,22.94,187606
2024-02-27 05:00:00,64967421.0,24.2746,23.76,24.53,24.62,23.72,248150
2024-02-28 05:00:00,47313982.0,24.5193,24.52,24.42,24.84,24.245,184087
2024-02-29 05:00:00,62753300.0,24.8647,24.81,25.08,25.2928,24.36,218356
2024-03-01 05:00:00,64794407.0,24.9413,25.3,24.93,25.69,24.535,273827
2024-03-04 05:00:00,64216031.0,24.0444,24.4,24.04,24.58,23.53,288108
2024-03-05 05:00:00,49542272.0,23.8119,23.96,23.81,24.4092,23.43,212760
2024-03-06 05:00:00,207386942.0,25.8796,25.75,26.16,26.75,24.53,777182
2024-03-07 05:00:00,117519319.0,26.9236,27.01,26.46,27.5,26.38,457320
2024-03-08 05:00:00,84256124.0,26.5093,27.19,26.04,27.28,25.81,341267
2024-03-11 04:00:00,60829269.0,25.9243,25.89,25.35,26.83,25.29,267027
2024-03-12 04:00:00,75202613.0,24.8122,25.57,24.7,25.64,24.35,318189
2024-03-13 04:00:00,59712992.0,25.0266,24.7,25.0,25.44,24.6,222619
2024-03-14 04:00:00,49214784.0,24.4838,24.83,24.43,24.97,24.14,209095
2024-03-15 04:00:00,61420999.0,23.6963,23.85,23.49,24.1,23.42,257768
